book_id,genre,name,author
447,Christian Books & Bibles,Sermons on Timothy and Titus,John Calvin
2492,"Cookbooks, Food & Wine",Oils and Vinegars: Discovering and Enjoying Gourmet Oils and Vinegars,Liz Franklin
16,Arts & Photography,"The Handbook of Painted Decoration: The Tools, Materials, and Step-by-Step Techniques of Trompe L'Oeil Painting",Yannick Guegan
2523,Teen & Young Adult,"Stage Plays from the Classics: One-Act Adaptations from Famous Short Stories, Novels, and Plays",Joellen Bland
4479,"Cookbooks, Food & Wine",Runner's World Meals on the Run: 150 energy-packed recipes in 30 minutes or less,Joanna Sayago Golub
1557,"Crafts, Hobbies & Home",Mosaics Inside & Out: Patterns and Inspirations for 17 Mosaic Projects,Doreen Mastandrea
2802,Religion & Spirituality,"She Appears! Encounters with Kwan Yin, Goddess of Compassion",Sandy Boucher
4216,Business & Money,A Companion to Museum Studies,
726,Children's Books,United States History  Early Years (Level 5): Houghton Mifflin Social Studies,HOUGHTON MIFFLIN
408,Science & Math,Indoor Marijuana Horticulture: The Indoor Bible,Jorge Cervantes
1565,Literature & Fiction,"This Book Is Full of Spiders: Seriously, Dude, Don't Touch It",David Wong
4924,"Health, Fitness & Dieting",The Secret to Long Life in Your DNA: The Beljanski Approach to Cellular Health,Hervé Janecek Ph.D.
2292,Biographies & Memoirs,Rabbi Israel Salanter and the Mussar Movement: Seeking the Torah of Truth,Immanuel Etkes
4732,Travel,The Healthiest City: Milwaukee and the Politics of Health Reform,Judith W. Leavitt
3018,Romance,My Fair Gentleman: A Proper Romance,Nancy Campbell Allen
4459,Sports & Outdoors,Stand Up Paddling: Flatwater to Surf and Rivers (Mountaineering Outdoor Experts) (Moes),Rob Casey
1541,Christian Books & Bibles,Your Guide to Zion and Bryce Canyon (True North Series),Mike Oard
1627,Comics & Graphic Novels,"Unnatural Talent: Creating, Printing and Selling Your Comic in the Digital Age",Jason Brubaker
1085,Parenting & Relationships,Brainstorm: The Power and Purpose of the Teenage Brain,Daniel J. Siegel MD
2660,Computers & Technology,E-Commerce Concepts,Dr Randall J Dyck
3174,Humor & Entertainment,Well Enough Alone: A Cultural History of My Hypochondria,Jennifer Traig
4389,Medical Books,Basic and Clinical Pharmacology 13 E,Bertram Katzung
4923,"Crafts, Hobbies & Home",How to Have a Big Wedding on a Small Budget,Diane Warner
1570,Reference,Russian Grammar (Quickstudy: Academic),Inc. BarCharts
2298,Travel,Responsible Travel Guide Cambodia,Pujita Nanette Mayeda
7,Business & Money,Principles of Marketing (16th Edition) (Newest Edition),Philip T Kotler
479,Arts & Photography,Halo: The Poster Collection,
2685,Children's Books,Mercy Watson: Something Wonky this Way Comes,Kate DiCamillo
3574,Teen & Young Adult,If You're Lucky,Yvonne Prinz
145,"Cookbooks, Food & Wine",Great-Tasting Potatoes Cookbook,Editors of Favorite Name Brand Recipes
1369,History,The Kuwaiti Oil Fires (Environmental Disasters),Kristine Hirschmann
1505,"Health, Fitness & Dieting",Healing Without Medication: A Comprehensive Guide to the Complementary Techniques Anyone Can Use to Achieve Real Healing,Robert S. Rister
1430,Literature & Fiction,Eternity's Sunrise: The Imaginative World of William Blake,Leo Damrosch
2205,Travel,Paraguay (Bradt Travel Guide),Margaret Hebblethwaite
1143,Medical Books,Treating Trauma and Traumatic Grief in Children and Adolescents,Judith A. Cohen
